section,veh_id,t_in_s,t_out_s,travel_s,delay_s
loopA 순환,2,324.8,4485.9,4161.1,1748.9
loopA 순환,4,803.1,5249.3,4446.2,2034.0
loopA 순환,6,1286.1,5493.6,4207.5,1795.3
loopA 순환,8,1763.1,6097.5,4334.4,1922.2
loopA 순환,97,2243.1,6520.9,4277.8,1865.6
loopA 순환,637,2723.1,7109.1,4386.0,1973.8
loopA 순환,1194,3203.1,7643.6,4440.5,2028.3
loopA 순환,1761,3683.1,7880.5,4197.4,1785.2
loopB 순환,1,258.3,4733.6,4475.3,2065.3
loopB 순환,3,738.3,5151.1,4412.8,2002.8
loopB 순환,5,1218.3,5600.3,4382.0,1972.0
loopB 순환,7,1698.3,5919.3,4221.0,1811.0
loopB 순환,21,2178.3,6624.8,4446.5,2036.5
loopB 순환,561,2658.3,7074.1,4415.8,2005.8
loopB 순환,1118,3138.3,7415.0,4276.7,1866.7
loopB 순환,1676,3618.3,8043.4,4425.1,2015.1
